method name: freqs			
corpus: parlamint51_si			
subcorpus: -			
concordance size: 869			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
speech.subcorpus	Frequency	Relative density	Relative in text types
Referenčni	732	95.82904	10.19491
COVID	133	133.83529	14.23825
COVID,Vojna	4	69.39813	7.38302
Parliamentary body	Frequency	Relative density	Relative in text types
Spodnji dom	869	100	10.63864
speech.date	Frequency	Relative density	Relative in text types
2007-10-24	1	196.26867	20.88031
2007-07-10	1	85.79264	9.12717
2007-03-28	1	218.04493	23.19701
2007-02-15	1	132.70039	14.11751
2007-02-02	1	212.60996	22.61881
2006-11-28	1	131.49375	13.98914
2006-11-21	1	171.64011	18.26017
2006-10-23	1	298.97262	31.80662
2006-09-25	1	198.08023	21.07304
2006-05-30	1	192.1011	20.43694
2003-03-24	1	300.88665	32.01024
2006-05-25	1	148.02676	15.74803
2006-04-25	1	127.45182	13.55914
2006-02-28	1	123.5015	13.13888
2005-11-25	1	333.05103	35.43209
2005-10-25	1	122.97959	13.08335
2004-04-19	1	103.63277	11.02512
2005-10-24	1	267.66805	28.47624
2004-11-09	1	227.55705	24.20897
2004-09-01	1	139.37456	14.82756
2004-07-09	1	338.69128	36.03214
2004-06-23	1	164.99384	17.5531
2004-04-21	1	226.19899	24.06449
2004-02-26	1	118.90677	12.65006
2004-02-23	1	205.82682	21.89717
2004-02-02	1	160.79406	17.1063
2003-07-11	1	313.44868	33.34667
2002-09-23	1	274.22759	29.17408
2002-05-15	1	249.64674	26.55901
2002-04-17	1	344.7786	36.67975
2002-04-16	1	321.95161	34.25127
2001-10-02	1	355.98179	37.87162
2001-07-06	1	389.65714	41.45421
2001-06-22	1	511.57609	54.42473
2001-04-19	1	295.79266	31.46831
2001-01-30	1	466.60209	49.64011
2001-01-11	1	357.68861	38.0532
speech.topic	Frequency	Relative density	Relative in text types
Vladne operacije	159	144.80769	15.40557
Makroekonomija	141	120.44287	12.81348
Mešano	84	130.9438	13.93064
Državljanske pravice	65	138.70208	14.75601
Pravo in kriminal	57	101.58051	10.80678
Domača trgovina	54	110.44103	11.74942
Zdravje	46	98.95813	10.5278
Izobraževanje	40	101.78808	10.82887
Mednarodni odnosi	33	126.94322	13.50503
Ostalo	31	55.26063	5.87898
Transport	24	62.34671	6.63284
Delo	22	60.03822	6.38725
Socialno varstvo	22	76.99258	8.19096
Kultura	21	147.38714	15.67998
Tehnologija	16	137.01461	14.57649
Poljedelstvo	12	47.14145	5.01521
Obramba	12	62.68904	6.66926
Okolje	10	44.08304	4.68984
Priseljevanje	6	34.37296	3.65682
Stanovanjska politika	6	30.0723	3.19928
Energija	5	38.79627	4.12739
Javna zemljišča	3	31.90207	3.39395
speech.term	Frequency	Relative density	Relative in text types
5. mandat	187	130.82547	13.91805
8. mandat	186	115.63975	12.30249
7. mandat	161	90.88041	9.66844
6. mandat	143	143.1322	15.22732
4. mandat	123	75.85621	8.07007
3. mandat	69	54.75986	5.8257
speech.session	Frequency	Relative density	Relative in text types
 -	869	100	10.63864
speech.meeting	Frequency	Relative density	Relative in text types
Redna	537	84.44851	8.98417
Izredna	332	142.42229	15.15179
speech.sitting	Frequency	Relative density	Relative in text types
 -	869	100	10.63864
speech.agenda	Frequency	Relative density	Relative in text types
 -	869	100	10.63864
speech.speaker_mp	Frequency	Relative density	Relative in text types
MP	811	105.98447	11.2753
notMP	58	55.88017	5.94489
speech.speaker_minister	Frequency	Relative density	Relative in text types
notMinister	821	104.11138	11.07603
Minister	48	59.68556	6.34973
speech.speaker_role	Frequency	Relative density	Relative in text types
Navadni	862	108.04856	11.4949
Predsedujoči	7	9.83001	1.04578
speech.speaker_name	Frequency	Relative density	Relative in text types
Bratušek, Alenka	28	631.77299	67.21204
Tanko, Jože	28	165.03005	17.55695
Lisec, Tomaž	23	373.60921	39.74693
Pojbič, Marijan	20	322.02164	34.25872
Gorenak, Vinko	18	173.64475	18.47344
Trček, Franc	18	249.57309	26.55118
Pukšič, Franc	16	262.94933	27.97423
Tonin, Matej	15	257.04103	27.34567
Tomić, Violeta	15	318.38348	33.87167
Grims, Branko	14	99.80614	10.61801
Möderndorfer, Jani	14	183.75553	19.54909
Petan, Rudolf	13	186.48489	19.83945
