method name: freqs			
corpus: janes			
subcorpus: -			
concordance size: 2499			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
group.type	Frequency	Relative density	Relative in text types
Predvolilni čas, ko se državljani odločamo, komu zaupati sv…	1	4558.65658	450.45045
Tresite se hetero svinje, ko mi pridemo med vas brez mask	1	7731.25868	763.94194
Na zdravje našemu atu!	1	3855.32099	380.95238
KARDELJEVA STOLETNICA ROJSTVA	1	10597.0865	1047.12042
Voščilo	1	2508.10845	247.83147
Programski svet o Nataši Pirc Musar: Naj odloči sodišče	1	7820.87914	772.79753
Kulturni praznik - praznovanje smrti?	1	12974.63796	1282.05128
Mehmedalija Alić: Nihče 2 - od Srebrenice do Hude jame	1	2512.46713	248.26216
KONTINUITETA DESNIČARSKE NEKULTURE	1	5351.78086	528.82073
Zahrbtnost vlade RS in izbrancev	1	12697.88909	1254.70514
Uganka	1	6107.55438	603.5003
Nespodobna povabila Alenke Bratušek	1	110002.36529	10869.56522
Kanglerjev scenarij: Kanglerju sodbo razveljavili, Janši jo…	1	17211.25443	1700.68027
Mramor predal Cerarju predlog strategije o upravljanju prem…	1	3730.26819	368.59565
NIČ NE RAZUMEMO	1	14540.54254	1436.78161
J. J.? Ne, hvala!	1	1315.50989	129.9883
ODLOČITEV USTAVNEGA SODIŠČA JE REŠILO DRŽAVO!	1	1095.14312	108.2134
Kaj JE in NI &#34;BIO-HUMANIZEM&#34;!	1	8642.372	853.97096
Neprijazni in neučinkoviti svetovalec	1	14688.26939	1451.37881
Tisočletne sanje	1	2583.00603	255.23226
Sporni razpis za premierovo hčerko	1	8591.01664	848.89643
Žakelj v Dražgošah: Smo potomci najbojevitejšega plemena sl…	1	164.75731	16.28002
Neonacizem v Sloveniji: Povej mi, s kom se družiš	1	34897.30209	3448.27586
Spodrezana Slovenija	1	8900.80704	879.50748
&#34;Množično&#34; grobišče ali krasen kraj?? - Lajše na Cerkljansk…	1	2939.36033	290.44438
Vprašanja &amp; odgovori Moč čistega uma	1	9.25602	0.91461
Slovenski škofje se pridružujejo pozivu k udeležbi na evrop…	1	12296.74071	1215.06683
Pridiga: za koga?	1	24743.80833	2444.98778
Dr. Spomenka Hribar: »Slovenska zveza komunistov konec osem…	1	28669.17169	2832.86119
Časarja na Dobu niso dočakali. Sodnik zanj odredil privedbo.	1	3820.3917	377.50094
RTV Slovenija bo prvič vodila generalna direktorica - Nataš…	1	1084.34776	107.14668
Nezaupnica Janši, odpoklic Jankovića?	1	3165.53569	312.79324
Razkritje - Družinski zakonik	1	3709.75719	366.56891
Država dveh domovin	1	3073.25163	303.67446
ZAMISLI	1	4722.45339	466.63556
Ob 1. maju, prazniku dela – razmislek v kakšni družbi živim…	1	14354.91859	1418.43972
Kmetje, obrtniki in avtoprevozniki zadovoljni z obljubami	1	2620.46028	258.9332
Rušenje vlade	1	11000.23653	1086.95652
PRISTRANSKO NERAZISKOVALNO NOVINARSTVO	1	15310.46537	1512.8593
Hrvaško zajela košarkarska evforija: zdaj po finale!	1	2024.44841	200.04001
TEMELJI SVOBODNE SLOVENIJE	1	10337.30093	1021.45046
IS: Iran očita ZDA neresnost, Obama pa napoveduje ofenzivo	1	2853.17666	281.92839
Zbornik Blogozija 4	1	38334.1576	3787.87879
Laži in manipulacije okoli dokumentarca &#34;Sovjetska zgodba&#34;	1	1353.69417	133.76137
Ščap poskrbel za napet finiš, a ni preprečil novega naslova…	1	1893.39899	187.09074
Preldžić za rojstni dan &#34;poračunal&#34; z Avstralci, Srbija &#34;st…	1	911.9778	90.11445
Slaba banka bo morala razkriti slaba posojila, a ne vseh	1	899.5749	88.88889
Razklani SD o vstopu v koalicijo šele prihodnje leto?	1	488.59256	48.27886
Nedostojno in šokantno na športni prireditvi ...	1	3323.55258	328.40722
V puljskem amfiteatru zmaga hokeja in Olimpije	1	2286.53809	225.93764
ODGOVOR direktorice RTVSLO Ljerke Bizilj	1	20611.44115	2036.65988
Nekako tako podobno mi je zvenelo ...	1	17240.57514	1703.57751
Uporabniški pogovor:Samo Cerar	1	24623.4005	2433.09002
Starševstvo in medsebojni odnosi Nezvestoba - varanje	1	45.81751	4.52732
Slovenska srčnost premalo za ameriški &#34;stroj&#34;	1	335.92968	33.19392
Predsednik DZ-ja: S funkcije se bom umaknil, če bi bilo to …	1	1876.19904	185.39118
Madridski protesti proti varčevanju so se sprevrgli v hude …	1	4070.88399	402.25261
Levica in Zver	1	8823.20628	871.83958
Žreb: Monaška ruleta se bo zavrtela ob 17.45. Kdo bodo tekm…	1	1528.04131	150.98898
Priporočamo namestitev - Terme Olimia - Hotel Sotelia	1	9777.98803	966.18357
ZAKAJ MI	1	39074.19925	3861.00386
THE OLYMPIC HANDSHAKE - JOIN IN NOW! - Olimpijsko virtualn…	1	66580.37899	6578.94737
Ljubljana je bila zadnja, ki je slavila domače zlato	1	63251.36004	6250
Barva partizanov nekoč in danes…….	1	5374.51811	531.06745
