method name: freqs			
corpus: siparl40			
subcorpus: -			
concordance size: 1922			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
Legislative period (in Slovene)	Frequency	Relative density	Relative in text types
OZFIMP-Redna-011-2009-10-28.ana	2	745.01495	52.44664
KZNJF-Redna-008-2009-11-04.ana	2	784.44929	55.22269
OZDDSZII-Nujna-015-2010-02-09.ana	2	716.33091	50.42737
Izredna-19-2010-02-11.ana	2	464.27533	32.68348
Redna-14-2010-03-04.ana	2	369.61426	26.01964
OZZ-Nujna-011-2010-03-12.ana	2	737.60677	51.92512
Izredna-24-2010-05-26.ana	2	326.79297	23.00516
Redna-18-2010-06-15.ana	2	505.1097	35.55808
Redna-38-2008-04-25.ana	2	510.74877	35.95506
OZZDDSPII-Redna-028-2003-02-04.ana	2	1135.28072	79.92008
Izredna-36-2010-12-22.ana	2	618.77423	43.5597
Izredna-38-2011-01-10.ana	2	510.66614	35.94924
Redna-25-2011-03-03.ana	2	342.21152	24.09058
Skupna-033-Nujna-2020-04-22.ana	2	575.24905	40.49567
OZNPJUIP-Nujna-059-2011-06-01.ana	2	1172.33639	82.52868
Redna-30-2011-07-15.ana	2	322.81244	22.72495
Redna-32-2007-10-29.ana	2	377.98888	26.60919
OZZP-Redna-022-2009-11-26.ana	2	1569.63536	110.49724
Redna-30-2011-07-11.ana	2	574.05185	40.41139
OZF-037-Nujna-2020-04-24.ana	2	383.25622	26.97999
SDZ8-Izredna-37-2020-05-14.ana	2	443.19231	31.1993
Redna-32-2011-10-18.ana	2	265.54754	18.69369
OZPJUILS-nujna-7-2012-05-22.ana	2	1626.23927	114.48197
Redna-27-2011-04-18.ana	2	734.06196	51.67558
OZNZ-redna-3-2012-06-28.ana	2	682.28627	48.03074
KZOSSVZIPS-srecanje-1-2012-07-05_2.ana	2	1193.26306	84.00185
OZDDSZII-012-Redna-2019-10-03.ana	2	331.88557	23.36367
KZNJF-nujna-8-2015-11-11.ana	2	947.77155	66.72004
Izredna-19-2012-11-06.ana	2	441.71085	31.09501
Redna-02-2014-11-20.ana	2	295.05343	20.7708
OZFIMP-Nujna-032-2007-11-23.ana	2	2468.32321	173.76195
Redna-09-2012-12-20.ana	2	768.86688	54.12573
Redna-05-2009-04-23.ana	2	361.94359	25.47965
Redna-35-2008-01-29.ana	2	305.22233	21.48666
Skupna-021-Nujna-2020-06-02.ana	2	556.21599	39.1558
Redna-09-2015-06-19.ana	2	338.94536	23.86065
Izredna-31-2013-03-20.ana	2	446.33246	31.42036
Skupna-014-Nujna-2021-10-04.ana	2	1213.44553	85.42263
Redna-13-2013-04-24.ana	2	392.43052	27.62584
Redna-18-2016-04-22.ana	2	526.10878	37.03635
Izredna-47-2013-11-12.ana	2	458.40971	32.27056
OZP-nujna-26-2013-07-02.ana	2	679.02486	47.80115
