method name: freqs			
corpus: siparl40			
subcorpus: -			
concordance size: 1922			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
Legislative period (in Slovene)	Frequency	Relative density	Relative in text types
2006-11-10	1	211.00697	14.85421
2006-11-21	1	254.72869	17.93207
2012-05-24	1	313.82304	22.09212
2006-12-13	1	181.51755	12.77825
2003-05-07	1	302.29619	21.28067
2007-02-13	1	255.2826	17.97107
2007-03-28	1	329.5182	23.19701
2007-07-11	1	148.30916	10.44048
2007-09-13	1	108.35723	7.628
2007-09-19	1	152.90521	10.76403
2007-10-25	1	141.27218	9.9451
2005-06-01	1	141.78827	9.98143
2006-10-23	1	451.81934	31.80662
2018-03-07	1	124.87429	8.79075
2000-11-29	1	323.13922	22.74795
2007-12-04	1	173.30812	12.20033
2007-12-12	1	122.48502	8.62255
1999-07-27	1	249.3978	17.5568
2007-12-20	1	292.36025	20.58121
2008-02-06	1	168.13474	11.83614
2009-01-12	1	280.83508	19.76988
2008-03-21	1	427.7644	30.11323
2004-11-09	1	331.24709	23.31872
2008-03-27	1	183.39939	12.91072
1998-09-18	1	412.94186	29.06977
2007-03-14	1	181.14257	12.75185
2008-05-13	1	288.85274	20.3343
2008-05-20	1	181.03176	12.74405
2008-06-06	1	484.6041	34.11456
2008-06-11	1	239.03613	16.82737
1997-10-22	1	183.79092	12.93828
2008-07-03	1	146.98177	10.34704
2019-10-18	1	129.08537	9.08719
2008-06-16	1	387.42159	27.27322
2019-11-21	1	151.77955	10.68479
2013-10-30	1	251.75812	17.72295
2008-12-18	1	730.08172	51.39538
2007-11-15	1	222.73583	15.67988
2009-01-14	1	172.13417	12.11769
2009-02-04	1	262.66526	18.49078
2009-02-06	1	1646.78878	115.92859
2009-02-19	1	855.99277	60.25911
2013-11-18	1	149.6923	10.53785
2009-02-25	1	645.63222	45.45041
2007-02-15	1	184.0958	12.95975
2014-11-12	1	207.97025	14.64043
2013-07-11	1	187.04096	13.16708
2009-03-24	1	258.99685	18.23254
2008-04-11	1	1211.4276	85.28057
2009-04-17	1	296.70197	20.88686
2009-05-14	1	138.09422	9.72139
2000-11-27	1	261.77945	18.42842
2009-05-19	1	168.70984	11.87663
2009-05-20	1	165.30361	11.63684
2006-05-17	1	371.1546	26.12808
2020-02-27	1	210.26362	14.80188
2009-06-04	1	840.49465	59.1681
2011-05-04	1	221.91118	15.62183
2009-09-02	1	188.24558	13.25188
2009-09-16	1	139.53616	9.82289
2013-04-02	1	320.60848	22.5698
2009-09-17	1	345.84409	24.3463
2010-10-04	1	528.91984	37.23424
2004-03-26	1	299.43508	21.07926
2008-02-12	1	122.08605	8.59446
2014-12-09	1	520.0703	36.61126
2017-09-13	1	105.28532	7.41174
2009-11-16	1	289.64786	20.39027
2009-12-09	1	218.85467	15.40666
1997-02-04	1	441.00463	31.0453
2009-12-11	1	220.16739	15.49907
2000-04-07	1	245.07781	17.25268
2009-12-17	1	121.79192	8.57376
2010-02-02	1	226.2587	15.92788
2008-06-02	1	441.71772	31.09549
2010-02-12	1	180.5348	12.70906
2009-11-17	1	233.89591	16.46551
2010-02-25	1	490.07107	34.49941
2010-03-02	1	128.46084	9.04323
2009-11-20	1	223.83436	15.75721
2010-03-05	1	152.5276	10.73745
2012-12-06	1	417.29679	29.37634
2010-03-11	1	268.14407	18.87647
2022-01-18	1	301.51338	21.22556
2000-05-23	1	208.65759	14.68882
2010-02-26	1	526.74281	37.08098
2010-03-31	1	656.82712	46.2385
2009-09-15	1	230.66381	16.23798
2015-12-17	1	182.82581	12.87034
2010-04-06	1	258.10742	18.16993
2010-04-21	1	135.39594	9.53143
2010-05-03	1	119.74879	8.42993
2010-05-21	1	201.40078	14.17796
2010-06-09	1	183.14875	12.89308
2017-11-07	1	333.8237	23.50011
2019-06-17	1	155.8237	10.96948
1999-10-01	1	318.47368	22.41951
2002-10-24	1	225.51874	15.87579
2009-12-14	1	274.32699	19.31173
2010-06-16	1	170.65558	12.0136
2010-06-17	1	164.58539	11.58628
2013-04-22	1	351.57905	24.75002
2010-06-24	1	188.86127	13.29522
2010-06-30	1	121.94875	8.5848
2010-09-24	1	155.98111	10.98056
2010-09-29	1	115.56742	8.13557
1999-09-28	1	364.14253	25.63445
2010-10-06	1	171.00895	12.03847
2014-09-15	1	81.20923	5.71687
2010-10-29	1	164.0797	11.55068
2021-07-01	1	148.42539	10.44867
1999-04-06	1	243.87028	17.16768
2005-02-25	1	361.29918	25.43429
2011-02-25	1	670.59435	47.20767
2007-06-08	1	166.06694	11.69057
2009-01-15	1	119.30426	8.39863
2002-03-27	1	203.45168	14.32234
2011-02-28	1	165.20364	11.6298
2015-02-05	1	129.97356	9.14972
2011-03-28	1	104.70638	7.37099
2011-05-16	1	294.95235	20.76369
2000-05-10	1	313.96176	22.10189
2011-05-20	1	158.03749	11.12533
2011-06-09	1	426.42892	30.01921
2016-05-18	1	142.06337	10.0008
2003-06-10	1	283.9677	19.9904
2011-06-15	1	151.0372	10.63253
2017-10-10	1	357.57942	25.17243
2011-06-16	1	166.15435	11.69673
2011-06-28	1	367.5533	25.87456
2002-03-28	1	229.30475	16.14231
2021-11-20	1	147.19652	10.36216
2011-06-29	1	172.89047	12.17093
2001-01-10	1	255.64094	17.99629
2011-10-04	1	197.27801	13.88773
2003-05-29	1	322.91885	22.73244
2005-11-03	1	182.11095	12.82002
2012-01-26	1	394.78628	27.79167
2008-04-18	1	202.51771	14.25659
2011-11-02	1	216.31845	15.22812
2012-01-11	1	364.37604	25.65089
2012-02-02	1	655.52377	46.14675
2012-02-03	1	897.86992	63.20713
2012-03-28	1	359.5798	25.31325
2012-04-18	1	409.53699	28.83008
2008-03-05	1	218.08859	15.35273
2012-04-26	1	134.23547	9.44974
2012-05-03	1	147.47771	10.38195
2012-05-08	1	111.53143	7.85145
2012-05-09	1	161.44658	11.36532
2012-05-14	1	392.69088	27.64416
2008-07-18	1	595.65582	41.93224
2012-06-03	1	222.87561	15.68972
2012-06-11	1	178.62784	12.57482
2008-04-22	1	240.09465	16.90188
2012-06-22	1	489.02506	34.42578
2012-06-27	1	317.78971	22.37136
2012-07-18	1	240.68859	16.9437
2012-12-07	1	182.45948	12.84456
2012-09-06	1	438.66226	30.8804
2012-09-21	1	368.52592	25.94303
2005-10-24	1	404.51064	28.47624
2015-05-08	1	178.49989	12.56581
2012-11-08	1	166.60841	11.72869
2000-08-29	1	320.5506	22.56572
1998-06-04	1	742.63907	52.27938
2012-12-13	1	196.96617	13.86578
2021-11-22	1	181.92669	12.80705
2006-11-08	1	167.91612	11.82075
2006-11-16	1	120.35143	8.47235
2012-12-21	1	633.9626	44.62891
2002-03-15	1	632.157	44.5018
2013-01-28	1	243.01918	17.10776
2013-02-07	1	306.89395	21.60434
2013-05-08	1	107.88896	7.59503
2009-03-04	1	198.81316	13.9958
2008-06-19	1	138.27435	9.73407
2013-02-20	1	296.84457	20.89689
2009-10-05	1	233.89591	16.46551
2010-01-25	1	268.54453	18.90466
2017-09-12	1	280.66307	19.75777
2021-07-05	1	220.7902	15.54291
2013-04-19	1	402.425	28.32941
2018-02-14	1	269.10414	18.94406
2021-06-16	1	105.6188	7.43522
2018-09-05	1	89.61706	6.30875
2001-03-22	1	211.5317	14.89115
2017-11-08	1	153.64448	10.81607
1993-07-06	1	319.85769	22.51694
1999-12-01	1	107.97589	7.60115
2018-03-20	1	287.642	20.24906
2018-12-10	1	340.98754	24.00442
2018-12-14	1	190.30344	13.39674
2007-02-21	1	208.00984	14.64322
2019-01-17	1	414.77459	29.19879
2019-01-30	1	186.93266	13.15945
2019-11-18	1	102.63205	7.22496
2008-12-22	1	149.76489	10.54296
2019-03-20	1	254.02718	17.88269
1996-03-21	1	398.21709	28.03319
2019-05-16	1	145.5421	10.24569
2015-07-08	1	309.70415	21.80217
2019-05-21	1	150.26869	10.57843
2004-06-23	1	249.34527	17.5531
2009-09-25	1	214.96323	15.13271
2021-09-21	1	210.16719	14.79509
2010-02-10	1	180.06795	12.6762
1998-04-01	1	248.13877	17.46816
2013-03-04	1	625.28392	44.01796
2014-04-01	1	282.48255	19.88586
2018-08-23	1	496.09555	34.92352
2019-10-24	1	207.47513	14.60558
1999-04-08	1	113.2493	7.97238
2018-11-14	1	309.42755	21.7827
2020-06-16	1	315.9871	22.24447
2013-09-25	1	236.78491	16.66889
2002-02-19	1	356.54728	25.09977
2014-01-14	1	170.81359	12.02472
2019-09-13	1	179.38577	12.62818
2019-09-20	1	386.45193	27.20496
2015-02-17	1	145.15097	10.21816
2019-03-04	1	119.33834	8.40103
2019-09-24	1	194.41335	13.68607
2019-09-25	1	218.00826	15.34707
1997-03-07	1	604.01395	42.52062
2020-10-19	1	205.39915	14.45943
2019-10-01	1	751.63766	52.91285
2007-02-02	1	227.06885	15.98491
2014-03-21	1	194.57312	13.69732
2010-11-10	1	98.74528	6.95135
1998-10-21	1	98.97922	6.96782
2011-08-31	1	575.34225	40.50223
2018-03-16	1	163.42092	11.5043
2019-09-11	1	93.42023	6.57648
2019-07-01	1	172.66771	12.15525
2020-09-09	1	249.0742	17.53402
1999-05-04	1	378.70435	26.65956
2017-02-03	1	203.32937	14.31373
1992-02-12	1	134.42983	9.46342
2019-01-22	1	305.10761	21.47859
2015-03-27	1	225.92764	15.90457
2019-11-22	1	163.02332	11.47631
2020-12-15	1	143.88072	10.12874
2020-12-17	1	496.26887	34.93572
2018-03-23	1	201.99647	14.2199
2018-09-10	1	335.93152	23.64849
2008-04-09	1	134.92525	9.4983
2019-12-18	1	364.24524	25.64168
2001-07-06	1	443.34447	31.21001
2010-05-28	1	254.24542	17.89805
2009-06-18	1	169.50099	11.93232
1994-06-15	1	3102.24941	218.38829
2021-09-27	1	185.26266	13.04189
2012-04-21	1	410.80425	28.91929
2015-03-30	1	272.4382	19.17877
2003-11-18	1	176.77614	12.44447
2005-09-22	1	165.4191	11.64497
2020-01-15	1	118.10208	8.314
2010-06-22	1	398.38461	28.04498
1990-11-21	1	113.3858	7.98199
2002-02-28	1	346.89133	24.42002
2015-03-25	1	161.5788	11.37462
2013-10-21	1	258.21064	18.17719
2020-01-27	1	205.70552	14.481
2020-04-02	1	199.13925	14.01876
2019-01-23	1	227.12694	15.989
2016-10-18	1	125.77429	8.8541
2022-03-09	1	189.18573	13.31806
2008-05-19	1	345.77674	24.34156
2020-03-10	1	129.68995	9.12975
2020-03-11	1	95.36956	6.71371
2010-10-18	1	276.81275	19.48672
2013-12-13	1	146.45442	10.30992
2012-10-25	1	182.80699	12.86902
1997-11-13	1	185.40291	13.05176
2020-03-12	1	77.32699	5.44357
2021-11-11	1	371.2225	26.13286
2019-03-02	1	348.63664	24.54289
2017-04-26	1	243.46485	17.13914
2002-05-15	1	167.14556	11.76651
2015-05-22	1	238.51036	16.79036
2016-09-28	1	289.36465	20.37033
2005-05-11	1	351.00568	24.70966
2021-02-01	1	122.87704	8.65014
2009-10-12	1	241.58503	17.0068
2009-03-27	1	335.4793	23.61665
2016-06-15	1	129.86662	9.14219
1999-10-21	1	236.3948	16.64143
2001-04-17	1	256.60609	18.06424
2010-10-21	1	216.71447	15.256
2011-01-14	1	391.46802	27.55808
2010-07-09	1	207.62373	14.61604
2020-06-04	1	156.27283	11.0011
2006-02-28	1	162.48999	11.43877
2019-10-09	1	83.38685	5.87016
2020-11-17	1	146.36539	10.30365
1993-10-06	1	334.93351	23.57823
1991-07-10	1	574.89984	40.47108
2011-01-20	1	224.48167	15.80278
2020-06-29	1	747.36676	52.6122
2021-11-19	1	123.28013	8.67852
2001-04-19	1	158.29108	11.14318
2018-05-18	1	705.14768	49.64011
2017-02-01	1	573.76202	40.39098
2019-11-05	1	177.62273	12.50406
2022-04-24	1	1202.40393	84.64534
2020-04-28	1	168.06114	11.83096
2021-01-29	1	298.47247	21.01149
2022-02-04	1	208.69744	14.69162
2021-10-07	1	185.9149	13.08781
1998-07-29	1	232.48339	16.36608
2019-04-17	1	395.85342	27.8668
2020-12-29	1	173.87026	12.2399
2013-06-11	1	291.81372	20.54274
2009-01-29	1	206.34496	14.52602
2022-01-13	1	661.47614	46.56577
2021-10-20	1	157.84257	11.1116
2020-11-02	1	133.51756	9.3992
2017-09-22	1	219.04028	15.41972
2018-09-17	1	616.75929	43.41785
2006-05-04	1	365.73636	25.74665
2014-09-24	1	147.31864	10.37075
2008-07-09	1	167.72381	11.80721
2021-10-26	1	179.67165	12.6483
2020-06-15	1	239.39869	16.85289
2002-01-17	1	115.36562	8.12137
2005-05-18	1	294.89724	20.75981
2021-11-15	1	302.54084	21.29789
2018-02-12	1	284.26319	20.01121
2021-03-12	1	181.32755	12.76487
2016-06-09	1	285.05609	20.06702
2016-11-29	1	184.15785	12.96412
2019-10-29	1	240.20427	16.9096
2008-11-20	1	725.31019	51.05948
2018-07-05	1	386.07382	27.17834
2012-04-11	1	171.13668	12.04747
2022-01-24	1	463.1174	32.60196
2021-06-15	1	372.83011	26.24603
2015-11-02	1	267.1858	18.80901
2000-03-10	1	308.72145	21.73299
2010-09-16	1	282.75807	19.90525
2018-11-28	1	152.70632	10.75003
2021-09-14	1	219.5922	15.45858
2012-03-21	1	191.77039	13.50001
2017-06-29	1	180.74383	12.72378
2017-02-13	1	298.64817	21.02386
2020-03-19	1	139.5965	9.82714
2020-03-05	1	166.12326	11.69454
2014-06-10	1	206.18323	14.51463
2015-01-27	1	165.38829	11.6428
2014-03-05	1	153.1558	10.78167
2007-07-10	1	129.65326	9.12717
2004-03-18	1	267.48263	18.82991
2003-06-06	1	421.20682	29.65159
2006-06-09	1	281.61453	19.82475
2012-11-14	1	279.2616	19.65911
1998-10-07	1	281.13521	19.79101
2021-12-01	1	116.11532	8.17414
1998-05-14	1	265.41358	18.68425
1997-07-17	1	246.28028	17.33733
2014-02-13	1	178.1395	12.54044
2015-11-03	1	349.61483	24.61175
1998-06-17	1	283.70115	19.97164
2000-02-03	1	143.24379	10.0839
2011-03-08	1	245.74345	17.29954
2022-03-23	1	239.56018	16.86426
2006-11-02	1	252.40676	17.76862
2007-11-08	1	146.76461	10.33175
2020-07-06	1	211.39005	14.88117
2021-02-19	1	81.62641	5.74623
2021-10-18	1	244.39895	17.20489
1996-07-18	1	324.80907	22.86551
2019-01-24	1	191.49894	13.4809
2020-05-26	1	79.62824	5.60557
1996-10-02	1	644.08071	45.34119
2016-09-14	1	154.81663	10.89859
2010-01-14	1	129.83931	9.14027
2019-01-18	1	174.72141	12.29982
2020-11-27	1	597.86196	42.08754
1998-01-22	1	317.0096	22.31645
2021-10-12	1	853.01147	60.04924
2014-03-24	1	160.32595	11.28643
2020-11-16	1	169.02099	11.89853
2022-01-31	1	189.07242	13.31009
2022-03-17	1	269.04807	18.94011
2008-06-04	1	85.8616	6.04438
2012-04-12	1	189.23362	13.32143
2007-11-21	1	204.4502	14.39263
2021-07-07	1	291.61004	20.5284
2020-10-01	1	116.71158	8.21612
2021-11-30	1	329.80126	23.21694
2011-01-13	1	149.74121	10.5413
2021-12-06	1	310.50296	21.8584
2010-04-07	1	265.41358	18.68425
2022-01-27	1	558.90778	39.34529
2013-05-22	1	359.8075	25.32928
2003-11-13	1	132.74771	9.34501
2006-10-06	1	331.71119	23.35139
2021-05-14	1	267.68425	18.8441
2017-03-24	1	196.49482	13.8326
2008-04-01	1	168.93857	11.89273
2013-01-30	1	229.56044	16.16031
2020-09-21	1	196.96071	13.86539
2019-02-15	1	190.20915	13.39011
2021-12-13	1	182.44073	12.84324
2000-05-30	1	278.5388	19.60823
2016-09-29	1	176.43362	12.42035
2005-07-01	1	758.37916	53.38743
2017-03-02	1	416.3062	29.30661
2013-03-14	1	328.57308	23.13048
2015-01-30	1	186.99664	13.16396
1998-05-13	1	217.58417	15.31722
2021-06-02	1	225.55455	15.87831
2013-01-31	1	185.3642	13.04904
2017-01-20	1	176.96112	12.45749
2019-10-21	1	150.57133	10.59973
2016-01-28	1	214.17888	15.0775
1999-11-10	1	149.8265	10.5473
2021-06-18	1	405.77011	28.5649
1998-01-20	1	368.32525	25.9289
2021-05-26	1	151.0083	10.63049
2016-11-18	1	170.99659	12.03761
2007-11-07	1	134.10114	9.44029
2019-01-25	1	273.32936	19.2415
2021-03-15	1	105.81628	7.44912
2015-12-10	1	348.26056	24.51641
2021-03-24	1	149.13126	10.49836
2006-01-18	1	117.82388	8.29442
2017-03-03	1	525.18486	36.97131
2020-01-22	1	253.18956	17.82372
2021-03-23	1	214.72602	15.11602
2009-03-26	1	253.90913	17.87438
2015-03-11	1	143.30882	10.08848
2010-03-23	1	166.49515	11.72072
2016-05-17	1	131.00923	9.22262
2021-03-17	1	208.82323	14.70048
2018-11-08	1	162.87565	11.46592
2003-03-26	1	237.22383	16.69979
2007-10-24	1	296.60904	20.88031
2008-12-11	1	482.67754	33.97893
2021-11-23	1	231.27595	16.28108
2017-12-13	1	152.95955	10.76786
2015-05-15	1	160.85608	11.32375
2016-02-04	1	232.11111	16.33987
2005-05-12	1	193.32063	13.60915
2019-05-07	1	261.28831	18.39385
2020-09-17	1	217.95808	15.34354
2009-11-03	1	228.69194	16.09917
2021-03-10	1	173.21514	12.19378
2018-12-12	1	199.73004	14.06035
2013-11-09	1	186.10001	13.10084
2015-12-08	1	213.44192	15.02562
1992-01-15	1	121.72825	8.56927
2021-02-03	1	172.80845	12.16515
2010-05-18	1	157.21021	11.06709
2017-10-03	1	121.41716	8.54737
2016-09-20	1	138.94383	9.78119
2021-03-01	1	223.51386	15.73465
2021-02-26	1	192.39114	13.54371
2021-02-10	1	143.78897	10.12228
2009-07-13	1	180.89114	12.73415
2015-09-29	1	180.45224	12.70325
2018-11-05	1	518.85456	36.52568
2020-09-02	1	219.2262	15.43281
2020-09-08	1	327.63337	23.06433
2019-05-28	1	358.20158	25.21623
2008-01-17	1	352.13684	24.78929
2012-11-28	1	168.03927	11.82942
2016-05-24	1	225.57246	15.87957
2015-05-27	1	231.91406	16.326
2020-11-10	1	245.69244	17.29595
2009-10-06	1	276.55946	19.46889
2005-09-15	1	226.46792	15.94261
2004-02-02	1	210.64089	14.82844
2019-07-02	1	224.84409	15.82829
2019-02-06	1	146.76158	10.33154
2017-09-01	1	107.10074	7.53954
2014-03-27	1	132.9913	9.36216
1999-06-02	1	156.16975	10.99384
2013-09-26	1	466.08045	32.81055
2017-09-18	1	238.45831	16.78669
2007-01-31	1	165.55791	11.65474
2020-09-27	1	970.49942	68.32001
2014-02-07	1	198.09232	13.94506
2017-05-03	1	270.16356	19.01864
2018-02-01	1	159.03895	11.19583
2018-03-19	1	210.22006	14.79881
2016-02-18	1	555.95476	39.13741
2018-01-18	1	192.21152	13.53107
2020-10-15	1	153.74924	10.82345
2021-01-21	1	276.73186	19.48103
2018-01-09	1	205.12924	14.44043
2016-10-27	1	357.2377	25.14838
2017-12-20	1	761.63209	53.61643
2016-04-18	1	308.072	21.68727
2001-01-31	1	347.80863	24.4846
2012-11-19	1	201.15267	14.1605
2017-10-24	1	159.5337	11.23066
2016-11-11	1	233.04787	16.40581
2013-05-15	1	899.40484	63.31518
2017-10-16	1	231.39274	16.2893
2004-03-22	1	411.0182	28.93435
2017-09-27	1	342.7813	24.13069
2001-06-06	1	153.95587	10.83799
2017-09-26	1	197.63207	13.91266
2017-09-19	1	239.52383	16.8617
2005-09-08	1	157.81276	11.10951
2017-03-13	1	216.09797	15.2126
2017-09-14	1	122.20683	8.60296
2018-04-05	1	169.37973	11.92378
2006-11-29	1	159.14051	11.20298
2012-06-16	1	235.24775	16.56068
2004-11-29	1	79.11689	5.56957
2011-03-04	1	318.98143	22.45526
2011-11-15	1	1089.18878	76.67536
2017-05-10	1	107.03376	7.53483
2003-05-26	1	545.7661	38.42016
2017-04-20	1	136.70808	9.62381
2015-09-22	1	251.99482	17.73962
1991-11-20	1	118.14825	8.31725
2017-03-28	1	559.78878	39.40731
2003-07-22	1	737.16658	51.89414
1995-12-14	1	365.46348	25.72744
2020-09-29	1	140.55509	9.89462
2017-02-21	1	725.71779	51.08818
2008-07-10	1	258.95907	18.22988
2005-07-22	1	8182.71892	576.03687
2014-04-29	1	271.59436	19.11936
2017-01-03	1	238.65462	16.80051
2005-09-09	1	264.30738	18.60638
2016-03-08	1	267.69434	18.84481
2016-12-09	1	877.40581	61.76652
2016-12-02	1	437.06963	30.76828
2001-10-09	1	144.42784	10.16725
2015-06-05	1	198.20288	13.95284
1997-01-09	1	282.62868	19.89614
2007-05-30	1	218.78051	15.40144
2016-11-17	1	186.18782	13.10702
2000-12-22	1	5100.61043	359.06643
2006-01-11	1	172.51883	12.14477
2016-11-16	1	124.34197	8.75327
2016-10-17	1	160.1416	11.27345
2008-05-08	1	128.62252	9.05461
2012-02-07	1	95.07021	6.69263
2016-09-08	1	155.28882	10.93183
2015-03-19	1	287.03752	20.20651
2016-07-07	1	140.05344	9.85931
2016-06-17	1	169.9024	11.96058
2013-12-18	1	288.51247	20.31034
1991-12-10	1	252.49649	17.77493
2016-05-27	1	108.55182	7.6417
2007-02-16	1	205.95007	14.49822
2014-01-17	1	306.37105	21.56753
2015-11-23	1	213.24326	15.01163
2016-05-12	1	228.89093	16.11318
2005-07-11	1	349.39984	24.59662
2007-12-05	1	150.17496	10.57183
2013-10-24	1	191.14335	13.45587
2013-02-13	1	121.31968	8.54051
1993-10-28	1	289.02318	20.34629
2014-12-19	1	132.87934	9.35427
2013-07-16	1	155.12772	10.92049
2008-01-22	1	260.68892	18.35165
1997-06-17	1	116.93736	8.23201
2021-10-25	1	162.77487	11.45882
2016-04-13	1	130.5409	9.18966
2016-04-07	1	190.15314	13.38616
2013-06-12	1	150.95214	10.62654
2008-05-22	1	110.41312	7.77273
2009-12-15	1	162.13021	11.41344
2014-06-12	1	260.69371	18.35199
2022-02-15	1	309.65689	21.79884
2016-04-06	1	219.26004	15.4352
2016-04-01	1	100.05705	7.04369
2016-03-30	1	158.83622	11.18155
2009-11-19	1	190.16841	13.38724
2016-03-22	1	350.84964	24.69868
2016-03-11	1	157.17194	11.06439
2013-12-19	1	139.95547	9.85241
2016-02-29	1	172.16129	12.1196
1995-03-15	1	652.24299	45.91579
2016-02-11	1	113.9086	8.0188
2019-06-21	1	151.07094	10.6349
2015-11-04	1	252.55485	17.77904
2011-03-01	1	112.27366	7.9037
2015-09-24	1	131.74066	9.27412
2011-03-29	1	172.81055	12.1653
2015-09-10	1	203.27118	14.30963
2015-09-09	1	165.1537	11.62628
2015-07-20	1	576.79065	40.60419
2015-07-14	1	112.22133	7.90002
2015-07-10	1	110.43458	7.77424
2002-01-23	1	206.80157	14.55816
2021-10-08	1	148.17767	10.43123
2001-01-11	1	221.90771	15.62158
1991-05-15	1	100.97311	7.10818
2015-06-23	1	95.82504	6.74577
2020-05-05	1	269.59955	18.97893
2006-11-13	1	482.46442	33.96393
2004-02-11	1	253.19858	17.82436
2008-04-16	1	377.92854	26.60494
2015-04-24	1	234.85104	16.53275
2001-06-22	1	494.71338	34.82622
2015-03-31	1	155.06675	10.9162
2009-05-13	1	312.60756	22.00656
2015-01-21	1	92.97692	6.54527
2010-09-07	1	204.0977	14.36782
2014-11-21	1	189.09256	13.3115
2014-11-06	1	161.55307	11.37281
2014-11-05	1	162.39711	11.43223
2007-06-26	1	300.53739	21.15686
2013-10-08	1	421.08196	29.6428
2017-12-15	1	193.08414	13.5925
2014-08-27	1	562.53762	39.60082
2014-06-11	1	193.51815	13.62305
2014-06-05	1	145.53763	10.24538
2014-05-22	1	302.29619	21.28067
2021-05-06	1	190.08698	13.38151
2020-12-28	1	88.74589	6.24742
2014-03-18	1	326.84936	23.00913
2014-03-06	1	330.13084	23.24014
1999-07-21	1	141.56784	9.96592
2014-02-27	1	844.14072	59.42477
2014-02-21	1	831.24817	58.51717
2000-07-26	1	126.00412	8.87028
2013-12-20	1	223.41895	15.72797
2018-04-26	1	300.72189	21.16985
2021-03-03	1	150.04014	10.56234
2011-04-06	1	224.10273	15.77611
2013-11-21	1	179.42202	12.63073
2016-05-25	1	116.4103	8.19491
2013-10-11	1	228.52638	16.08752
2010-10-22	1	231.70223	16.31109
2013-09-23	1	237.52132	16.72073
2015-11-12	1	159.44596	11.22448
2019-06-20	1	224.65208	15.81478
2013-07-08	1	281.15747	19.79257
2013-06-07	1	123.55571	8.69792
2013-05-31	1	267.65903	18.84233
2013-05-09	1	417.28453	29.37548
1999-03-11	1	129.57993	9.12201
1999-03-03	1	181.02253	12.7434
1999-02-11	1	247.01689	17.38919
1996-07-17	1	424.14977	29.85877
1999-02-05	1	142.61247	10.03946
1998-12-17	1	288.8175	20.33182
1998-11-06	1	532.92816	37.51641
1998-09-24	1	338.21905	23.80952
1998-07-15	1	229.06441	16.12539
1998-07-10	1	295.63987	20.81209
1998-07-02	1	106.05407	7.46586
1998-06-12	1	479.87298	33.7815
1998-06-05	1	505.39723	35.57833
1998-05-22	1	516.45883	36.35703
1998-05-07	1	109.71893	7.72386
1998-04-08	1	251.14388	17.67971
1998-03-13	1	354.17373	24.93268
1998-02-11	1	103.72015	7.30156
1997-11-04	1	321.47189	22.63058
1997-10-08	1	464.55622	32.70325
1997-09-11	1	319.26103	22.47494
1997-06-11	1	126.83894	8.92905
1997-04-24	1	254.09989	17.88781
1997-02-03	1	265.49791	18.69019
1996-07-23	1	446.43766	31.42776
1996-06-14	1	1189.91456	83.76612
1996-03-13	1	343.02963	24.14817
1995-11-29	1	150.50751	10.59524
1995-09-28	1	598.34043	42.12122
1995-07-13	1	315.08296	22.18082
1995-06-02	1	439.09617	30.91095
1995-04-20	1	497.46805	35.02014
1995-04-18	1	636.43369	44.80287
1995-01-31	1	397.77106	28.00179
1994-11-11	1	517.79544	36.45112
1994-10-19	1	332.82257	23.42963
1994-09-30	1	235.82575	16.60137
1994-02-22	1	284.5479	20.03125
1993-12-21	1	326.8268	23.00755
1993-11-12	1	229.51593	16.15718
1993-11-11	1	427.35259	30.08424
1993-10-01	1	372.83011	26.24603
1992-09-10	1	194.11049	13.66475
1991-11-13	1	438.20218	30.84801
1991-07-30	1	325.34469	22.90321
1991-05-22	1	107.02812	7.53443
1990-12-05	1	93.59011	6.58844
1990-10-25	1	108.32666	7.62585
Type of session (in Slovene)	Frequency	Relative density	Relative in text types
Redna seja	1062	83.97648	5.9209
Nujna seja	451	116.13484	8.18828
Izredna seja	387	152.73097	10.76855
Posebna seja	13	190.0002	13.39628
Javna predstavitev mnenj	12	92.47501	6.5201
Type of session (in English)	Frequency	Relative density	Relative in text types
Regular meeting	1062	83.97648	5.9209
Urgent meeting	451	116.13484	8.18828
Extraordinary meeting	387	152.73097	10.76855
Special meeting	13	190.0002	13.39628
Public presentation of opinions	12	92.47501	6.5201
Type of speaker (in Slovene)	Frequency	Relative density	Relative in text types
redni	1798	111.78523	7.86932
predsedujoči	124	39.54604	2.78391
Type of speaker (in English)	Frequency	Relative density	Relative in text types
Regular	1798	111.78523	7.86932
Chairperson	124	39.54604	2.78391
Is the speaker an MP (in Slovene)	Frequency	Relative density	Relative in text types
član parlamenta	1594	112.89312	7.94731
gost	328	64.30804	4.52708
Is the speaker an MP (in English)	Frequency	Relative density	Relative in text types
MP	1594	112.89312	7.94731
Guest	328	64.30804	4.52708
Acronym of speaker's party	Frequency	Relative density	Relative in text types
SDS	440	125.28773	8.81985
 -	322	65.73736	4.6277
SD	244	170.35613	11.99252
LDS	142	79.42754	5.59144
NSi	91	105.09572	7.3984
PS	89	331.69796	23.35046
Levica	84	172.22087	12.12379
SLS	73	87.92188	6.18942
LMŠ	66	210.38512	14.81043
SMC	63	86.51532	6.0904
Zares	47	166.42933	11.71608
SNS	44	110.22059	7.75917
DeSUS	41	71.61165	5.04123
ZLSD	38	49.42839	3.4796
