method name: freqs			
corpus: trendi			
subcorpus: -			
concordance size: 2980			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
text.topic	Frequency	Relative density	Relative in text types
newsfeed.2023-02-13.511	1	43063205.40268	1000000
newsfeed.2023-02-03.827	1	43063205.40268	1000000
newsfeed.2022-08-20.63	1	43063205.40268	1000000
newsfeed.2023-02-21.816	1	43063205.40268	1000000
newsfeed.2020-06-24.248	1	43063205.40268	1000000
newsfeed.2023-02-20.441	1	43063205.40268	1000000
newsfeed.2019-05-04.605	1	43063205.40268	1000000
newsfeed.2020-04-19.485	1	43063205.40268	1000000
newsfeed.2023-02-03.768	1	43063205.40268	1000000
newsfeed.2023-02-26.109	1	43063205.40268	1000000
newsfeed.2024-07-22.279	1	43063205.40268	1000000
newsfeed.2023-02-13.915	1	43063205.40268	1000000
newsfeed.2023-02-26.766	1	43063205.40268	1000000
newsfeed.2023-02-17.1265	1	43063205.40268	1000000
newsfeed.2022-04-13.1469	1	43063205.40268	1000000
newsfeed.2022-12-21.519	1	43063205.40268	1000000
newsfeed.2023-02-16.574	1	43063205.40268	1000000
newsfeed.2019-03-05.34	1	43063205.40268	1000000
newsfeed.2023-02-17.1277	1	43063205.40268	1000000
newsfeed.2021-06-30.401	1	43063205.40268	1000000
newsfeed.2023-02-28.828	1	43063205.40268	1000000
newsfeed.2021-12-16.1608	1	43063205.40268	1000000
newsfeed.2025-04-19.12	1	43063205.40268	1000000
newsfeed.2023-02-24.976	1	43063205.40268	1000000
newsfeed.2023-02-10.589	1	43063205.40268	1000000
newsfeed.2023-02-26.767	1	43063205.40268	1000000
newsfeed.2020-12-20.1198	1	43063205.40268	1000000
newsfeed.2023-02-17.1266	1	43063205.40268	1000000
newsfeed.2023-03-30.1346	1	43063205.40268	1000000
newsfeed.2025-01-07.1442	1	43063205.40268	1000000
newsfeed.2023-09-05.31	1	43063205.40268	1000000
newsfeed.2023-03-30.523	1	43063205.40268	1000000
newsfeed.2023-04-14.70	1	43063205.40268	1000000
newsfeed.2022-01-03.393	1	43063205.40268	1000000
newsfeed.2019-08-29.997	1	43063205.40268	1000000
newsfeed.2023-03-27.909	1	43063205.40268	1000000
newsfeed.2023-03-25.877	1	43063205.40268	1000000
newsfeed.2020-08-10.244	1	43063205.40268	1000000
newsfeed.2020-10-22.882	1	43063205.40268	1000000
newsfeed.2023-03-19.927	1	43063205.40268	1000000
newsfeed.2023-04-07.1375	1	43063205.40268	1000000
newsfeed.2024-11-06.1606	1	43063205.40268	1000000
newsfeed.2021-11-23.1640	1	43063205.40268	1000000
newsfeed.2025-10-21.1345	1	43063205.40268	1000000
newsfeed.2021-01-25.1174	1	43063205.40268	1000000
newsfeed.2024-07-22.437	1	43063205.40268	1000000
newsfeed.2024-12-04.246	1	43063205.40268	1000000
newsfeed.2024-12-16.911	1	43063205.40268	1000000
newsfeed.2022-12-25.709	1	43063205.40268	1000000
newsfeed.2021-05-10.157	1	43063205.40268	1000000
newsfeed.2024-12-16.551	1	43063205.40268	1000000
newsfeed.2024-12-20.851	1	43063205.40268	1000000
newsfeed.2025-07-19.765	1	43063205.40268	1000000
newsfeed.2024-12-09.1293	1	43063205.40268	1000000
newsfeed.2022-05-15.451	1	43063205.40268	1000000
newsfeed.2022-03-31.154	1	43063205.40268	1000000
newsfeed.2025-01-24.1409	1	43063205.40268	1000000
newsfeed.2022-04-29.983	1	43063205.40268	1000000
newsfeed.2025-05-10.14	1	43063205.40268	1000000
newsfeed.2024-12-21.446	1	43063205.40268	1000000
newsfeed.2025-01-10.147	1	43063205.40268	1000000
newsfeed.2024-12-24.16	1	43063205.40268	1000000
newsfeed.2023-04-18.573	1	43063205.40268	1000000
newsfeed.2024-12-23.198	1	43063205.40268	1000000
newsfeed.2022-08-25.797	1	43063205.40268	1000000
newsfeed.2021-06-01.2	1	43063205.40268	1000000
newsfeed.2024-12-23.1321	1	43063205.40268	1000000
newsfeed.2023-03-06.21	1	43063205.40268	1000000
newsfeed.2019-07-07.278	1	43063205.40268	1000000
newsfeed.2025-04-18.30	1	43063205.40268	1000000
newsfeed.2025-01-13.600	1	43063205.40268	1000000
newsfeed.2024-04-22.650	1	43063205.40268	1000000
newsfeed.2023-03-01.487	1	43063205.40268	1000000
newsfeed.2022-10-25.207	1	43063205.40268	1000000
newsfeed.2022-02-17.514	1	43063205.40268	1000000
newsfeed.2025-01-27.693	1	43063205.40268	1000000
newsfeed.2022-11-16.66	1	43063205.40268	1000000
newsfeed.2023-06-13.382	1	43063205.40268	1000000
newsfeed.2020-08-31.1137	1	43063205.40268	1000000
newsfeed.2025-01-24.743	1	43063205.40268	1000000
newsfeed.2021-06-30.1052	1	43063205.40268	1000000
newsfeed.2025-02-17.504	1	43063205.40268	1000000
newsfeed.2021-02-01.291	1	43063205.40268	1000000
newsfeed.2025-12-03.837	1	43063205.40268	1000000
newsfeed.2022-07-28.775	1	43063205.40268	1000000
newsfeed.2022-08-18.510	1	43063205.40268	1000000
newsfeed.2025-03-25.1445	1	43063205.40268	1000000
newsfeed.2025-02-01.596	1	43063205.40268	1000000
newsfeed.2019-12-12.586	1	43063205.40268	1000000
newsfeed.2025-02-10.1050	1	43063205.40268	1000000
newsfeed.2025-01-23.54	1	43063205.40268	1000000
newsfeed.2025-02-12.1079	1	43063205.40268	1000000
newsfeed.2019-01-18.313	1	43063205.40268	1000000
newsfeed.2025-02-09.80	1	43063205.40268	1000000
newsfeed.2024-07-23.853	1	43063205.40268	1000000
newsfeed.2022-09-16.1195	1	43063205.40268	1000000
newsfeed.2024-11-29.131	1	43063205.40268	1000000
newsfeed.2024-12-24.72	1	43063205.40268	1000000
newsfeed.2025-08-31.752	1	43063205.40268	1000000
newsfeed.2022-09-15.701	1	43063205.40268	1000000
newsfeed.2022-03-15.299	1	43063205.40268	1000000
newsfeed.2025-02-13.45	1	43063205.40268	1000000
newsfeed.2021-09-22.1629	1	43063205.40268	1000000
newsfeed.2024-07-27.105	1	43063205.40268	1000000
newsfeed.2026-05-22.422	1	43063205.40268	1000000
newsfeed.2021-08-23.432	1	43063205.40268	1000000
newsfeed.2023-06-30.505	1	43063205.40268	1000000
newsfeed.2023-06-27.1115	1	43063205.40268	1000000
newsfeed.2021-09-10.88	1	43063205.40268	1000000
newsfeed.2022-07-26.382	1	43063205.40268	1000000
newsfeed.2022-03-09.235	1	43063205.40268	1000000
newsfeed.2022-07-21.240	1	43063205.40268	1000000
newsfeed.2020-02-18.24	1	43063205.40268	1000000
newsfeed.2022-12-29.1042	1	43063205.40268	1000000
newsfeed.2023-04-11.1042	1	43063205.40268	1000000
newsfeed.2019-12-04.4	1	43063205.40268	1000000
newsfeed.2021-01-23.452	1	43063205.40268	1000000
newsfeed.2025-02-12.940	1	43063205.40268	1000000
newsfeed.2023-02-03.1128	1	43063205.40268	1000000
newsfeed.2024-10-11.72	1	43063205.40268	1000000
newsfeed.2024-06-13.167	1	43063205.40268	1000000
newsfeed.2021-12-22.1062	1	43063205.40268	1000000
newsfeed.2024-07-22.753	1	43063205.40268	1000000
newsfeed.2025-12-04.1096	1	43063205.40268	1000000
newsfeed.2024-01-01.229	1	43063205.40268	1000000
newsfeed.2025-02-01.765	1	43063205.40268	1000000
newsfeed.2025-02-16.148	1	43063205.40268	1000000
newsfeed.2025-03-15.255	1	43063205.40268	1000000
newsfeed.2025-04-21.307	1	43063205.40268	1000000
newsfeed.2022-01-16.233	1	43063205.40268	1000000
newsfeed.2026-02-12.39	1	43063205.40268	1000000
newsfeed.2022-04-20.958	1	43063205.40268	1000000
newsfeed.2024-09-20.1171	1	43063205.40268	1000000
newsfeed.2025-03-06.948	1	43063205.40268	1000000
newsfeed.2023-09-07.823	1	43063205.40268	1000000
newsfeed.2021-06-30.982	1	43063205.40268	1000000
newsfeed.2025-05-03.5	1	43063205.40268	1000000
newsfeed.2020-03-25.126	1	43063205.40268	1000000
newsfeed.2025-03-12.986	1	43063205.40268	1000000
newsfeed.2023-02-05.667	1	43063205.40268	1000000
newsfeed.2024-04-14.590	1	43063205.40268	1000000
newsfeed.2020-02-14.1152	1	43063205.40268	1000000
newsfeed.2022-11-24.597	1	43063205.40268	1000000
newsfeed.2023-12-20.480	1	43063205.40268	1000000
newsfeed.2021-02-02.996	1	43063205.40268	1000000
newsfeed.2025-03-06.1874	1	43063205.40268	1000000
newsfeed.2020-09-23.1533	1	43063205.40268	1000000
newsfeed.2024-01-02.710	1	43063205.40268	1000000
newsfeed.2022-05-05.730	1	43063205.40268	1000000
newsfeed.2025-04-25.346	1	43063205.40268	1000000
newsfeed.2025-03-03.1077	1	43063205.40268	1000000
newsfeed.2021-02-18.510	1	43063205.40268	1000000
newsfeed.2023-12-18.1457	1	43063205.40268	1000000
newsfeed.2025-03-27.1668	1	43063205.40268	1000000
newsfeed.2025-03-16.962	1	43063205.40268	1000000
newsfeed.2020-06-14.516	1	43063205.40268	1000000
newsfeed.2025-03-01.1006	1	43063205.40268	1000000
newsfeed.2023-10-07.260	1	43063205.40268	1000000
newsfeed.2020-06-17.1234	1	43063205.40268	1000000
newsfeed.2024-01-21.600	1	43063205.40268	1000000
newsfeed.2021-05-19.998	1	43063205.40268	1000000
newsfeed.2023-06-30.459	1	43063205.40268	1000000
newsfeed.2023-10-10.1249	1	43063205.40268	1000000
newsfeed.2021-08-16.195	1	43063205.40268	1000000
newsfeed.2025-03-25.1314	1	43063205.40268	1000000
newsfeed.2025-03-27.1467	1	43063205.40268	1000000
newsfeed.2025-07-11.350	1	43063205.40268	1000000
newsfeed.2025-02-10.1261	1	43063205.40268	1000000
newsfeed.2022-11-03.930	1	43063205.40268	1000000
newsfeed.2025-04-10.74	1	43063205.40268	1000000
newsfeed.2022-12-07.1136	1	43063205.40268	1000000
newsfeed.2022-04-13.370	1	43063205.40268	1000000
newsfeed.2023-01-07.647	1	43063205.40268	1000000
newsfeed.2025-05-09.579	1	43063205.40268	1000000
newsfeed.2022-03-09.596	1	43063205.40268	1000000
newsfeed.2023-12-20.318	1	43063205.40268	1000000
newsfeed.2023-05-23.1410	1	43063205.40268	1000000
newsfeed.2024-12-23.196	1	43063205.40268	1000000
newsfeed.2025-05-22.490	1	43063205.40268	1000000
newsfeed.2023-03-02.522	1	43063205.40268	1000000
newsfeed.2025-04-18.946	1	43063205.40268	1000000
newsfeed.2025-10-31.100	1	43063205.40268	1000000
newsfeed.2025-12-30.730	1	43063205.40268	1000000
newsfeed.2022-12-17.246	1	43063205.40268	1000000
newsfeed.2025-05-09.10	1	43063205.40268	1000000
newsfeed.2025-04-11.777	1	43063205.40268	1000000
newsfeed.2021-06-21.154	1	43063205.40268	1000000
newsfeed.2020-03-30.1320	1	43063205.40268	1000000
newsfeed.2023-02-24.1216	1	43063205.40268	1000000
newsfeed.2025-04-29.477	1	43063205.40268	1000000
newsfeed.2025-04-27.29	1	43063205.40268	1000000
newsfeed.2019-06-05.811	1	43063205.40268	1000000
newsfeed.2020-09-29.804	1	43063205.40268	1000000
newsfeed.2020-03-07.293	1	43063205.40268	1000000
newsfeed.2021-08-31.653	1	43063205.40268	1000000
newsfeed.2025-04-26.413	1	43063205.40268	1000000
newsfeed.2023-05-22.1202	1	43063205.40268	1000000
newsfeed.2025-05-28.436	1	43063205.40268	1000000
newsfeed.2021-09-24.802	1	43063205.40268	1000000
newsfeed.2022-09-15.77	1	43063205.40268	1000000
newsfeed.2025-04-26.23	1	43063205.40268	1000000
newsfeed.2026-05-20.1482	1	43063205.40268	1000000
newsfeed.2025-04-26.22	1	43063205.40268	1000000
newsfeed.2019-09-06.812	1	43063205.40268	1000000
newsfeed.2025-05-05.36	1	43063205.40268	1000000
newsfeed.2021-12-22.1054	1	43063205.40268	1000000
newsfeed.2025-04-25.661	1	43063205.40268	1000000
newsfeed.2026-02-03.289	1	43063205.40268	1000000
newsfeed.2025-12-11.56	1	43063205.40268	1000000
newsfeed.2021-04-22.694	1	43063205.40268	1000000
newsfeed.2019-09-16.67	1	43063205.40268	1000000
newsfeed.2023-06-30.735	1	43063205.40268	1000000
newsfeed.2025-04-25.24	1	43063205.40268	1000000
newsfeed.2020-12-08.1505	1	43063205.40268	1000000
newsfeed.2026-05-22.350	1	43063205.40268	1000000
newsfeed.2022-04-13.445	1	43063205.40268	1000000
newsfeed.2021-02-18.458	1	43063205.40268	1000000
newsfeed.2021-02-09.159	1	43063205.40268	1000000
newsfeed.2025-04-24.761	1	43063205.40268	1000000
newsfeed.2025-04-23.35	1	43063205.40268	1000000
newsfeed.2026-02-28.935	1	43063205.40268	1000000
newsfeed.2021-12-28.740	1	43063205.40268	1000000
newsfeed.2024-11-15.692	1	43063205.40268	1000000
newsfeed.2025-02-12.1003	1	43063205.40268	1000000
newsfeed.2021-09-30.773	1	43063205.40268	1000000
newsfeed.2025-04-21.133	1	43063205.40268	1000000
newsfeed.2025-04-24.26	1	43063205.40268	1000000
newsfeed.2024-01-06.271	1	43063205.40268	1000000
newsfeed.2025-03-12.690	1	43063205.40268	1000000
newsfeed.2022-04-29.85	1	43063205.40268	1000000
newsfeed.2022-06-17.1312	1	43063205.40268	1000000
newsfeed.2022-04-18.564	1	43063205.40268	1000000
newsfeed.2025-12-06.119	1	43063205.40268	1000000
newsfeed.2024-02-01.30	1	43063205.40268	1000000
newsfeed.2020-08-10.179	1	43063205.40268	1000000
newsfeed.2021-06-27.720	1	43063205.40268	1000000
newsfeed.2022-04-16.157	1	43063205.40268	1000000
newsfeed.2023-06-30.726	1	43063205.40268	1000000
newsfeed.2025-02-09.78	1	43063205.40268	1000000
newsfeed.2024-09-15.161	1	43063205.40268	1000000
newsfeed.2023-10-06.782	1	43063205.40268	1000000
newsfeed.2025-04-18.31	1	43063205.40268	1000000
newsfeed.2025-11-20.31	1	43063205.40268	1000000
newsfeed.2025-04-17.15	1	43063205.40268	1000000
newsfeed.2026-04-07.1373	1	43063205.40268	1000000
newsfeed.2019-02-01.1176	1	43063205.40268	1000000
newsfeed.2021-08-23.285	1	43063205.40268	1000000
newsfeed.2025-04-11.535	1	43063205.40268	1000000
newsfeed.2025-05-15.8	1	43063205.40268	1000000
newsfeed.2024-08-07.925	1	43063205.40268	1000000
newsfeed.2020-03-16.800	1	43063205.40268	1000000
newsfeed.2021-06-04.1282	1	43063205.40268	1000000
newsfeed.2022-06-10.108	1	43063205.40268	1000000
newsfeed.2025-04-24.610	1	43063205.40268	1000000
newsfeed.2025-05-09.9	1	43063205.40268	1000000
newsfeed.2025-04-22.322	1	43063205.40268	1000000
newsfeed.2021-06-29.246	1	43063205.40268	1000000
newsfeed.2024-04-07.180	1	43063205.40268	1000000
newsfeed.2024-02-24.492	1	43063205.40268	1000000
newsfeed.2025-04-17.489	1	43063205.40268	1000000
newsfeed.2025-08-05.793	1	43063205.40268	1000000
newsfeed.2023-02-23.1379	1	43063205.40268	1000000
newsfeed.2025-04-01.1293	1	43063205.40268	1000000
newsfeed.2025-04-28.32	1	43063205.40268	1000000
newsfeed.2024-12-23.695	1	43063205.40268	1000000
newsfeed.2023-09-26.93	1	43063205.40268	1000000
newsfeed.2021-02-04.1221	1	43063205.40268	1000000
newsfeed.2023-03-27.1144	1	43063205.40268	1000000
newsfeed.2022-05-15.556	1	43063205.40268	1000000
newsfeed.2023-03-03.1229	1	43063205.40268	1000000
newsfeed.2022-04-06.1205	1	43063205.40268	1000000
newsfeed.2025-04-22.38	1	43063205.40268	1000000
newsfeed.2023-02-28.1314	1	43063205.40268	1000000
newsfeed.2025-06-24.256	1	43063205.40268	1000000
newsfeed.2020-08-10.237	1	43063205.40268	1000000
newsfeed.2025-05-07.538	1	43063205.40268	1000000
newsfeed.2025-05-28.550	1	43063205.40268	1000000
newsfeed.2022-01-13.1040	1	43063205.40268	1000000
newsfeed.2024-02-14.372	1	43063205.40268	1000000
newsfeed.2024-05-12.853	1	43063205.40268	1000000
newsfeed.2025-02-12.739	1	43063205.40268	1000000
newsfeed.2024-06-03.495	1	43063205.40268	1000000
newsfeed.2026-01-26.664	1	43063205.40268	1000000
newsfeed.2025-05-31.686	1	43063205.40268	1000000
newsfeed.2025-04-24.533	1	43063205.40268	1000000
newsfeed.2025-01-25.124	1	43063205.40268	1000000
newsfeed.2020-10-13.1487	1	43063205.40268	1000000
newsfeed.2021-10-05.1405	1	43063205.40268	1000000
newsfeed.2023-06-01.1177	1	43063205.40268	1000000
newsfeed.2022-11-28.754	1	43063205.40268	1000000
newsfeed.2025-06-20.472	1	43063205.40268	1000000
newsfeed.2020-03-03.467	1	43063205.40268	1000000
newsfeed.2020-04-24.102	1	43063205.40268	1000000
newsfeed.2023-08-06.89	1	43063205.40268	1000000
newsfeed.2019-01-07.262	1	43063205.40268	1000000
newsfeed.2022-03-26.446	1	43063205.40268	1000000
newsfeed.2019-05-11.713	1	43063205.40268	1000000
newsfeed.2025-05-01.624	1	43063205.40268	1000000
newsfeed.2022-08-16.648	1	43063205.40268	1000000
newsfeed.2025-05-06.1208	1	43063205.40268	1000000
newsfeed.2023-03-13.1159	1	43063205.40268	1000000
newsfeed.2024-03-23.870	1	43063205.40268	1000000
newsfeed.2022-11-26.766	1	43063205.40268	1000000
newsfeed.2022-03-15.136	1	43063205.40268	1000000
newsfeed.2023-07-31.271	1	43063205.40268	1000000
newsfeed.2025-05-08.306	1	43063205.40268	1000000
newsfeed.2023-06-09.1090	1	43063205.40268	1000000
newsfeed.2025-05-09.989	1	43063205.40268	1000000
newsfeed.2025-10-09.713	1	43063205.40268	1000000
newsfeed.2022-04-13.1179	1	43063205.40268	1000000
newsfeed.2023-07-01.143	1	43063205.40268	1000000
newsfeed.2021-03-18.296	1	43063205.40268	1000000
newsfeed.2019-06-09.201	1	43063205.40268	1000000
newsfeed.2025-05-13.8	1	43063205.40268	1000000
newsfeed.2023-10-20.250	1	43063205.40268	1000000
newsfeed.2019-05-10.1017	1	43063205.40268	1000000
newsfeed.2021-09-05.348	1	43063205.40268	1000000
newsfeed.2023-03-08.1088	1	43063205.40268	1000000
newsfeed.2025-05-12.39	1	43063205.40268	1000000
newsfeed.2022-04-13.1533	1	43063205.40268	1000000
newsfeed.2025-05-12.37	1	43063205.40268	1000000
newsfeed.2023-08-16.711	1	43063205.40268	1000000
newsfeed.2026-03-25.335	1	43063205.40268	1000000
newsfeed.2023-05-22.1170	1	43063205.40268	1000000
newsfeed.2022-02-17.1733	1	43063205.40268	1000000
newsfeed.2022-03-23.1527	1	43063205.40268	1000000
newsfeed.2022-05-11.529	1	43063205.40268	1000000
newsfeed.2026-05-26.809	1	43063205.40268	1000000
newsfeed.2025-10-01.1305	1	43063205.40268	1000000
newsfeed.2025-05-11.26	1	43063205.40268	1000000
newsfeed.2025-05-10.16	1	43063205.40268	1000000
newsfeed.2020-03-20.398	1	43063205.40268	1000000
newsfeed.2025-05-10.15	1	43063205.40268	1000000
newsfeed.2025-05-04.590	1	43063205.40268	1000000
newsfeed.2025-05-09.949	1	43063205.40268	1000000
newsfeed.2025-06-11.1101	1	43063205.40268	1000000
newsfeed.2023-07-03.870	1	43063205.40268	1000000
newsfeed.2021-08-05.1144	1	43063205.40268	1000000
newsfeed.2021-08-21.1	1	43063205.40268	1000000
newsfeed.2025-05-09.577	1	43063205.40268	1000000
newsfeed.2023-05-26.444	1	43063205.40268	1000000
newsfeed.2025-05-09.735	1	43063205.40268	1000000
newsfeed.2025-05-09.11	1	43063205.40268	1000000
newsfeed.2023-10-11.930	1	43063205.40268	1000000
newsfeed.2025-02-01.701	1	43063205.40268	1000000
newsfeed.2023-01-23.1155	1	43063205.40268	1000000
newsfeed.2023-04-18.718	1	43063205.40268	1000000
newsfeed.2025-05-03.247	1	43063205.40268	1000000
newsfeed.2024-09-28.839	1	43063205.40268	1000000
newsfeed.2021-09-05.153	1	43063205.40268	1000000
newsfeed.2025-02-12.1061	1	43063205.40268	1000000
newsfeed.2023-12-21.20	1	43063205.40268	1000000
newsfeed.2021-08-14.1008	1	43063205.40268	1000000
newsfeed.2023-05-27.863	1	43063205.40268	1000000
newsfeed.2024-07-11.117	1	43063205.40268	1000000
newsfeed.2025-05-14.579	1	43063205.40268	1000000
newsfeed.2023-04-18.1315	1	43063205.40268	1000000
newsfeed.2025-05-06.552	1	43063205.40268	1000000
newsfeed.2025-05-05.478	1	43063205.40268	1000000
newsfeed.2025-05-05.35	1	43063205.40268	1000000
newsfeed.2023-09-20.304	1	43063205.40268	1000000
newsfeed.2025-05-03.422	1	43063205.40268	1000000
newsfeed.2019-06-09.107	1	43063205.40268	1000000
newsfeed.2025-10-07.37	1	43063205.40268	1000000
newsfeed.2025-05-03.4	1	43063205.40268	1000000
newsfeed.2022-03-24.833	1	43063205.40268	1000000
newsfeed.2022-03-12.154	1	43063205.40268	1000000
newsfeed.2023-01-30.313	1	43063205.40268	1000000
newsfeed.2025-04-26.24	1	43063205.40268	1000000
newsfeed.2025-04-25.23	1	43063205.40268	1000000
newsfeed.2025-03-21.1294	1	43063205.40268	1000000
newsfeed.2021-09-11.216	1	43063205.40268	1000000
newsfeed.2020-01-07.1048	1	43063205.40268	1000000
newsfeed.2025-05-02.15	1	43063205.40268	1000000
newsfeed.2025-05-02.14	1	43063205.40268	1000000
newsfeed.2020-03-23.45	1	43063205.40268	1000000
newsfeed.2025-07-29.90	1	43063205.40268	1000000
newsfeed.2021-02-15.145	1	43063205.40268	1000000
newsfeed.2023-12-24.297	1	43063205.40268	1000000
newsfeed.2026-04-18.455	1	43063205.40268	1000000
newsfeed.2023-04-20.923	1	43063205.40268	1000000
newsfeed.2023-10-11.1232	1	43063205.40268	1000000
newsfeed.2023-09-25.826	1	43063205.40268	1000000
newsfeed.2023-11-13.636	1	43063205.40268	1000000
newsfeed.2019-03-20.1199	1	43063205.40268	1000000
newsfeed.2020-10-20.85	1	43063205.40268	1000000
newsfeed.2025-05-10.313	1	43063205.40268	1000000
newsfeed.2025-11-01.694	1	43063205.40268	1000000
newsfeed.2025-03-23.781	1	43063205.40268	1000000
newsfeed.2019-05-16.843	1	43063205.40268	1000000
newsfeed.2025-06-27.1229	1	43063205.40268	1000000
newsfeed.2021-02-08.457	1	43063205.40268	1000000
newsfeed.2024-01-19.368	1	43063205.40268	1000000
newsfeed.2019-02-27.68	1	43063205.40268	1000000
newsfeed.2025-05-03.175	1	43063205.40268	1000000
newsfeed.2024-06-19.965	1	43063205.40268	1000000
newsfeed.2020-03-03.534	1	43063205.40268	1000000
newsfeed.2025-02-09.56	1	43063205.40268	1000000
newsfeed.2025-12-16.885	1	43063205.40268	1000000
newsfeed.2026-02-20.185	1	43063205.40268	1000000
newsfeed.2023-11-10.756	1	43063205.40268	1000000
newsfeed.2021-06-30.361	1	43063205.40268	1000000
newsfeed.2019-10-22.1066	1	43063205.40268	1000000
newsfeed.2025-05-07.25	1	43063205.40268	1000000
newsfeed.2023-04-09.750	1	43063205.40268	1000000
newsfeed.2023-12-25.208	1	43063205.40268	1000000
newsfeed.2023-03-12.890	1	43063205.40268	1000000
newsfeed.2024-03-22.710	1	43063205.40268	1000000
newsfeed.2025-05-12.38	1	43063205.40268	1000000
newsfeed.2019-03-14.225	1	43063205.40268	1000000
newsfeed.2025-11-03.1040	1	43063205.40268	1000000
newsfeed.2022-10-27.675	1	43063205.40268	1000000
newsfeed.2023-05-27.698	1	43063205.40268	1000000
newsfeed.2025-02-12.484	1	43063205.40268	1000000
newsfeed.2023-12-14.989	1	43063205.40268	1000000
newsfeed.2023-11-30.114	1	43063205.40268	1000000
newsfeed.2020-08-29.22	1	43063205.40268	1000000
newsfeed.2021-05-28.625	1	43063205.40268	1000000
newsfeed.2025-04-19.406	1	43063205.40268	1000000
newsfeed.2026-05-22.1342	1	43063205.40268	1000000
newsfeed.2024-09-04.459	1	43063205.40268	1000000
newsfeed.2025-10-26.387	1	43063205.40268	1000000
newsfeed.2024-02-14.346	1	43063205.40268	1000000
newsfeed.2023-10-06.578	1	43063205.40268	1000000
newsfeed.2021-10-24.56	1	43063205.40268	1000000
newsfeed.2025-04-18.941	1	43063205.40268	1000000
newsfeed.2024-07-25.1043	1	43063205.40268	1000000
newsfeed.2023-05-24.877	1	43063205.40268	1000000
newsfeed.2022-03-15.504	1	43063205.40268	1000000
newsfeed.2022-06-17.240	1	43063205.40268	1000000
newsfeed.2022-10-12.553	1	43063205.40268	1000000
newsfeed.2022-06-28.1407	1	43063205.40268	1000000
newsfeed.2024-11-01.478	1	43063205.40268	1000000
newsfeed.2026-03-16.820	1	43063205.40268	1000000
newsfeed.2026-04-22.23	1	43063205.40268	1000000
newsfeed.2026-01-08.1415	1	43063205.40268	1000000
newsfeed.2022-05-18.471	1	43063205.40268	1000000
newsfeed.2026-05-01.608	1	43063205.40268	1000000
newsfeed.2025-05-13.7	1	43063205.40268	1000000
newsfeed.2025-10-09.695	1	43063205.40268	1000000
newsfeed.2025-04-24.309	1	43063205.40268	1000000
newsfeed.2025-05-21.280	1	43063205.40268	1000000
newsfeed.2025-12-12.335	1	43063205.40268	1000000
newsfeed.2022-08-25.836	1	43063205.40268	1000000
newsfeed.2025-04-25.636	1	43063205.40268	1000000
newsfeed.2026-01-23.671	1	43063205.40268	1000000
newsfeed.2023-10-07.739	1	43063205.40268	1000000
newsfeed.2025-12-03.908	1	43063205.40268	1000000
newsfeed.2026-01-07.1152	1	43063205.40268	1000000
newsfeed.2021-11-20.764	1	43063205.40268	1000000
newsfeed.2023-05-25.21	1	43063205.40268	1000000
newsfeed.2019-12-07.129	1	43063205.40268	1000000
newsfeed.2026-01-27.523	1	43063205.40268	1000000
newsfeed.2025-05-11.200	1	43063205.40268	1000000
newsfeed.2023-12-23.208	1	43063205.40268	1000000
newsfeed.2025-12-12.381	1	43063205.40268	1000000
newsfeed.2025-04-20.11	1	43063205.40268	1000000
newsfeed.2024-02-24.437	1	43063205.40268	1000000
newsfeed.2022-06-12.619	1	43063205.40268	1000000
newsfeed.2024-04-22.648	1	43063205.40268	1000000
newsfeed.2025-05-08.11	1	43063205.40268	1000000
newsfeed.2019-07-27.716	1	43063205.40268	1000000
newsfeed.2023-12-23.630	1	43063205.40268	1000000
newsfeed.2020-05-30.804	1	43063205.40268	1000000
newsfeed.2022-08-11.136	1	43063205.40268	1000000
newsfeed.2026-04-24.242	1	43063205.40268	1000000
newsfeed.2024-03-15.209	1	43063205.40268	1000000
newsfeed.2023-10-26.363	1	43063205.40268	1000000
newsfeed.2026-01-21.690	1	43063205.40268	1000000
newsfeed.2026-02-27.21	1	43063205.40268	1000000
newsfeed.2023-09-26.762	1	43063205.40268	1000000
newsfeed.2021-11-04.808	1	43063205.40268	1000000
newsfeed.2025-04-30.965	1	43063205.40268	1000000
newsfeed.2026-01-20.35	1	43063205.40268	1000000
newsfeed.2024-04-05.1328	1	43063205.40268	1000000
newsfeed.2021-08-08.466	1	43063205.40268	1000000
newsfeed.2025-05-11.28	1	43063205.40268	1000000
newsfeed.2025-10-28.1227	1	43063205.40268	1000000
newsfeed.2025-12-20.141	1	43063205.40268	1000000
newsfeed.2026-05-23.681	1	43063205.40268	1000000
newsfeed.2021-04-01.1537	1	43063205.40268	1000000
newsfeed.2024-07-22.982	1	43063205.40268	1000000
newsfeed.2023-05-19.15	1	43063205.40268	1000000
newsfeed.2025-01-14.1437	1	43063205.40268	1000000
newsfeed.2023-09-03.715	1	43063205.40268	1000000
newsfeed.2020-05-26.137	1	43063205.40268	1000000
newsfeed.2023-01-25.1277	1	43063205.40268	1000000
newsfeed.2023-07-08.34	1	43063205.40268	1000000
newsfeed.2021-10-24.381	1	43063205.40268	1000000
newsfeed.2023-09-11.26	1	43063205.40268	1000000
newsfeed.2020-05-28.1341	1	43063205.40268	1000000
