method name: freqs			
corpus: trendi			
subcorpus: -			
concordance size: 2980			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
text.topic	Frequency	Relative density	Relative in text types
2022-05-09	5	407.69358	9.46733
2025-12-03	5	422.79263	9.81796
2022-03-19	5	513.82064	11.93178
2024-07-30	5	402.20801	9.33995
2024-07-24	5	480.91885	11.16774
2025-10-01	5	350.14608	8.13098
2025-04-17	5	356.32008	8.27435
2024-10-21	5	380.23764	8.82976
2023-12-25	5	930.17923	21.60032
2024-04-22	5	429.94414	9.98403
2024-10-17	5	362.67661	8.42196
2024-02-14	5	373.38924	8.67073
2026-02-16	5	441.88329	10.26127
2022-03-31	5	338.48335	7.86015
2022-02-17	5	359.84181	8.35613
2020-04-13	5	617.59019	14.34148
2020-03-03	5	528.88647	12.28163
2019-12-27	5	663.33543	15.40376
2019-03-15	5	479.78614	11.14144
2019-03-30	5	674.62293	15.66588
2024-10-18	4	276.87014	6.42939
2025-02-16	4	397.72985	9.23596
2019-08-29	4	416.17517	9.66429
2020-05-26	4	376.14796	8.73479
2021-01-24	4	373.89774	8.68253
2021-06-04	4	363.03801	8.43035
2021-10-17	4	410.95158	9.54299
2021-11-19	4	297.11364	6.89948
2022-01-13	4	299.80789	6.96204
2021-09-10	4	352.372	8.18267
2025-05-28	4	314.5567	7.30454
2022-03-12	4	385.7008	8.95662
2022-04-01	4	323.83463	7.51998
2022-01-16	4	415.38333	9.6459
2022-07-02	4	422.42331	9.80938
2021-02-15	4	284.46339	6.60572
2022-07-24	4	507.14652	11.77679
2022-09-16	4	312.05674	7.24648
2022-10-23	4	384.25703	8.92309
2020-01-25	4	501.37186	11.6427
2022-12-30	4	365.76384	8.49365
2023-01-30	4	353.55089	8.21005
2021-03-14	4	419.47609	9.74094
2021-03-18	4	290.44461	6.74461
2023-03-19	4	446.62456	10.37137
2025-05-11	4	400.97028	9.3112
2023-10-06	4	313.50159	7.28003
2022-09-28	4	276.55409	6.42205
2025-10-13	4	347.19712	8.0625
2020-07-29	4	408.77777	9.49251
2022-01-09	4	404.64666	9.39658
2025-05-05	4	351.81279	8.16968
2025-06-11	4	358.72478	8.33019
2026-03-26	4	277.6959	6.44857
2025-04-20	4	534.22329	12.40556
2025-03-12	4	257.3565	5.97625
2025-12-06	4	495.20136	11.49941
2026-02-07	4	448.09545	10.40553
2024-11-03	4	438.77573	10.18911
2026-04-18	4	466.3662	10.82981
2023-02-17	4	327.63755	7.60829
2025-06-10	4	352.56312	8.18711
2025-05-04	4	481.48399	11.18087
2022-06-05	4	391.98257	9.10249
2025-05-06	4	318.45771	7.39512
2023-10-08	4	379.26113	8.80708
2021-03-25	4	310.43201	7.20875
2024-08-30	4	279.50597	6.4906
2020-12-15	4	310.77141	7.21663
2023-02-26	4	392.78613	9.12115
2023-12-18	4	283.30217	6.57875
2019-01-19	4	454.86979	10.56284
2019-01-14	4	382.15477	8.87428
2020-07-05	4	538.26652	12.49945
2022-07-21	4	328.55809	7.62967
2022-10-28	4	283.09684	6.57398
2023-05-27	4	369.51279	8.58071
2019-12-24	4	513.6999	11.92897
2020-05-22	4	365.35422	8.48414
2020-04-21	4	308.02831	7.15294
2019-12-13	4	412.30411	9.57439
2019-10-24	4	365.88581	8.49648
2025-08-15	3	423.67669	9.83848
2020-09-29	3	246.02953	5.71322
2020-09-24	3	232.96759	5.4099
2020-03-27	3	247.57885	5.7492
2020-10-20	3	255.71317	5.93809
2020-11-30	3	218.96248	5.08468
2021-10-06	3	220.06128	5.11019
2021-03-29	3	219.84446	5.10516
2021-03-01	3	221.33069	5.13967
2021-08-29	3	336.70223	7.81879
2021-05-14	3	224.29415	5.20849
2022-12-23	3	252.70203	5.86817
2023-02-03	3	251.0857	5.83063
2021-10-24	3	300.4822	6.9777
2021-10-01	3	244.55919	5.67908
2021-11-30	3	198.64538	4.61288
2021-03-30	3	217.34604	5.04714
